1882,4,6,22,50,40,48N50,2E20
1923,3,25,5,30,0,48N50,2E20
1882,5,9,8,50,40,48N50,2E20
1929,11,6,17,40,0,48N50,2E20
1882,5,21,3,50,40,48N50,2E20
1924,9,13,23,30,0,48N50,2E20
1882,6,25,11,50,40,48N50,2E20
1923,1,23,20,30,0,48N50,2E20
1882,6,26,5,50,40,48N50,2E20
1923,3,27,1,0,0,48N50,2E20
1882,7,8,20,50,40,48N50,2E20
1923,2,22,7,0,0,48N50,2E20
1882,8,22,1,50,40,48N50,2E20
1924,11,20,20,30,0,48N50,2E20
1929,9,26,4,15,0,48N50,2E20
1882,10,9,5,50,40,48N50,2E20
1927,5,11,22,0,0,48N50,2E20
1928,8,1,18,15,0,48N50,2E20
1882,11,21,5,50,40,48N50,2E20
1886,3,3,3,50,40,48N50,2E20
1925,2,4,17,30,0,48N50,2E20
1882,12,26,4,50,40,48N50,2E20
1924,2,20,9,15,0,48N50,2E20
1883,1,1,7,50,40,48N50,2E20
1925,4,5,6,0,0,48N50,2E20
1883,1,16,4,50,40,48N50,2E20
1925,4,29,7,0,0,48N50,2E20
1883,4,2,17,50,40,48N50,2E20
1923,1,18,8,30,0,48N50,2E20
1883,4,6,0,50,40,48N50,2E20
1924,2,13,0,10,0,48N50,2E20
1883,4,18,3,50,40,48N50,2E20
1923,4,3,8,0,0,48N50,2E20
1883,5,22,11,50,40,48N50,2E20
1924,1,10,1,0,0,48N50,2E20
1883,6,14,1,50,40,48N50,2E20
1924,9,3,11,15,0,48N50,2E20
1883,9,2,6,50,40,48N50,2E20
1927,7,22,18,45,0,48N50,2E20
1883,9,17,3,50,40,48N50,2E20
1923,5,10,13,0,0,48N50,2E20
1883,10,10,5,50,40,48N50,2E20
1926,4,27,13,0,0,48N50,2E20
1883,10,22,0,50,40,48N50,2E20
1930,9,9,6,30,0,48N50,2E20
1883,11,17,21,50,40,48N50,2E20
1890,11,11,8,50,40,48N50,2E20
1929,6,25,7,0,0,48N50,2E20
1883,12,12,22,50,40,48N50,2E20
1929,4,18,10,0,0,48N50,2E20
1883,12,20,2,50,40,48N50,2E20
1924,3,16,23,0,0,48N50,2E20
