1809,10,31,3,53,16,46N49,1E41
1867,7,15,9,51,16,48N50,2E11
1825,11,29,18,50,40,48N50,2E20
1836,2,28,3,50,40,48N50,2E20
1852,6,15,22,53,16,46N49,1E41
1804,12,22,8,6,20,47N13,1W35
1813,11,30,9,37,8,45N11,5E43
1847,8,19,15,50,40,48N50,2E20
1823,5,18,3,10,40,43N57,4E50
1855,8,22,21,40,40,43N57,4E50
1853,12,4,17,57,12,47N24,0E42
1827,11,21,11,45,40,47N48,3E35
1841,6,9,20,11,0,48N31,2W45
1866,6,4,15,57,36,44N50,0W34
1834,7,27,1,58,40,46N35,0E20
1817,8,23,8,43,40,48N18,4E 5
1877,10,28,19,37,48,46N40,5E33
1869,3,31,18,50,40,48N50,2E20
1841,9,28,21,35,40,46N40,1W25
1871,12,18,0,50,40,48N50,2E20
1818,10,11,3,50,40,48N50,2E20
1870,11,4,21,54,16,43N37,1E26
1825,5,12,18,35,32,45N54,6E 7
1830,4,16,0,35,16,49N 7,6E11
1856,2,16,13,35,16,49N 7,6E11
1880,7,7,21,5,12,48N42,6E12
1875,4,23,6,2,0,35N40,0W30
1834,3,10,0,44,28,43N37,3E53
1846,10,4,23,39,28,48N 7,5E 8
1837,6,17,4,46,40,46N34,3E20
1884,4,5,6,35,0,36N30,6E15
1807,5,10,13,44,28,43N37,3E53
1874,11,18,13,11,0,48N31,2W45
1865,1,24,4,0,40,45N46,4E50
1871,11,10,11,40,40,45N46,4E50
1895,10,6,17,50,40,48N42,6E12
1869,3,4,12,46,40,46N34,3E20
1873,9,2,10,9,8,46N12,5E13
1842,9,12,19,40,24,44N56,4E54
1868,5,24,18,53,16,46N49,1E41
1850,7,31,14,59,12,48N 1,0E12
1874,9,29,4,50,40,48N50,2E20
1873,10,28,17,34,8,43N32,6E28
1840,9,26,23,50,40,48N50,2E20
1812,3,19,15,47,40,50N39,3E 5
1853,10,31,20,50,48,49N54,2E18
1845,3,11,4,50,40,48N50,2E20
1882,12,7,2,41,4,49N46,4E44
1813,7,30,17,10,56,47N40,2W44
1891,9,20,16,50,40,50N18,2E46
1805,2,13,21,47,24,46N59,3E 9
1858,4,30,13,50,40,48N50,2E20
1875,1,8,3,21,28,48N50,2E 8
